,Meal_id,Name,Catagory,Description,Veg_non,Nutrient,Diet,Diabeties,Heart_Disease,Hypertension
62,meal_id4   ,tricolour salad                                                               ,salad       ,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,0,0,1
63,meal_id9   ,cream of almond soup                                                          ,soup        ,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,calcium       ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                 ,0,0,1
64,meal_id10  ,broccoli and almond soup                                                      ,soup        ,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,vitamin_c     ,alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet                                                                                                    ,1,0,1
65,meal_id33  ,moong dal kiwi coconut soup                                                   ,soup        ,"Dusted moong dal boiled with salt, kiwi, coconut cream, oil, bay leaves, cumin, black pepper, garlic cloves, onion, turmeric powder, curry powder, salt, fresh coriander                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,sodium        ,alkaline_diet paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet                                                                                                      ,0,0,1
66,meal_id69  ,banana and maple ice lollies                                                  ,banana      ,"Bananas, Greek Yogurt, Heavy Cream, Pure Maple Syrup, Coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,0,0,1
67,meal_id70  ,shepherds salad (tamatar-kheera salaad)                                       ,salad       ,"1 cucumber peeled and chopped, onion, tomato, green chilli, garlic cloves, parsley, olive oil, lemon juice, salt and pepper                                                                                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,0,0,1
68,meal_id72  ,dark night                                                                    ,apple       ,"whisky, honey, cinnamon, star anise, cloves, green apple                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,iron          ,vegan_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                                  ,0,1,1
69,meal_id73  ,hot chocolate                                                                 ,chocolate   ,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",veg     ,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,0,1,1
70,meal_id74  ,slow cooked spiced sangria                                                    ,sangria     ,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,iron          ,vegan_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                                  ,1,1,0
71,meal_id75  ,detox haldi tea                                                               ,tea         ,"haldi, ginger, black pepper, honey, water                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",veg     ,manganese     ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet                                                                                                                     ,0,1,0
72,meal_id76  ,holi special ice tea thandai                                                  ,tea         ,"ground white pepper (kali mirch), assam tea bags, almonds (badam) - coarsley crushed, poppy seeds (khus-khus), fennel seeds (saunf) (crushed coarsely), cardamom (elaichi) powder, ground sugar, saffron (kesar) strands                                                                                                                                                                                                                                                                                                                                              ",veg     ,calcium       ,low_fat_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet                                                                                                                   ,0,1,0
73,meal_id79  ,beetroot and green apple soup                                                 ,soup        ,"beetroots, green apple, onion, olive oil, salt, black peppercorns (crushed), butter, vegetable stock, mixed dried herbs, fresh cream, lemon juice, parsley sprigs, red chilli flakes, soup sticks as required                                                                                                                                                                                                                                                                                                                                                         ",veg     ,sodium        ,alkaline_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                                                                  ,1,1,1
74,meal_id80  ,baba budan no. 7                                                              ,cardamom    ,"rum, espresso, sugar syrup/gur (jaggery) syrup, green cardamom pod,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",veg     ,iron          ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet                                                                                                                     ,0,1,0
75,meal_id81  ,fruit infused tea                                                             ,tea         ,"chamomile tea bags, orange, berries, blueberries, ginger, mint leaves, boiling water                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",veg     ,manganese     ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                   ,1,1,1
76,meal_id82  ,soya milk                                                                     ,milk        ,"soybean, hot water                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",veg     ,vitamin_d     ,low_fat_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                 ,0,0,1
77,meal_id75  ,detox haldi tea                                                               ,tea         ,"Turmeric, Ginger, Black Pepper, Honey, Water                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",veg     ,manganese     ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet                                                                                                                     ,0,1,0
78,meal_id34  ,mixed berry &amp; banana smoothie                                             ,smoothie    ,"Frozen mixed berries, ripe banana, fresh orange juice, low fat yogurt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,1,0,1
79,meal_id35  ,banana walnut smoothie                                                        ,smoothie    ,"Low fat yogurt, banana, walnuts, seeds (flaxseeds and chia seeds), honey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,selenium      ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet                                                                                                                    ,0,0,1
80,meal_id85  ,garlic and pinenut soup with burnt butter essence                             ,soup        ,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine                                                                                                                                                                                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet dash_diet type_a_diet                                                                                                         ,1,1,1
81,meal_id87  ,roasted spring chicken with root veggies                                      ,chicken     ,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley                                                                                                                                                                                                                                                                                                                                                                                                                 ",non-veg ,iron          ,alkaline_diet low_fat_diet low_carb_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                           ,0,0,1
82,meal_id56  ,chocolate samosa                                                              ,chicken     ,"refined flour, desi ghee, black cardamom seeds, chocolate flutter_block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,0,1,1
83,meal_id90  ,half roast chicken                                                            ,chicken     ,"cooking oil, whole chicken (skin on- rinsed and dressed), onions (quartered- skin on), garlic (halved - skin on), carrots (roughly quartered), celery , thyme, dunkleweizen (pour into a glass and keep open at room temperature for an hour or two to make flat), chicken stock, butter, sea salt                                                                                                                                                                                                                                                                    ",non-veg ,vitamin_a     ,low_fat_diet low_carb_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                                         ,1,1,0
84,meal_id101 ,crispy herb chicken                                                           ,chicken     ,"fresh breadcrumbs, parmesan cheese, lemon rind, fresh parsley leaves, garlic powder, plain flour, egg, milk, chicken breast supremes, vegetable oil, mayonnaise, sour cream, fresh chives (dried if fresh not available), fresh parsley (dried if fresh not available), garlic, red onion (optional), ground black pepper, salt                                                                                                                                                                                                                                       ",non-veg ,chloride      ,low_fat_diet low_carb_diet vegan_diet hormone_diet high_protien_diet type_a_diet                                                                                                        ,1,0,0
85,meal_id107 ,garlic soya chicken                                                           ,chicken     ,"chicken thigh/breast (cut crosswise into 1/2-inch-thin strips), sesame oil (toasted), white pepper (finely ground), ginger juice, peanut oil or vegetable oil (divided), garlic cloves (minced), ginger, red chilli flakes, red onion , snow peas (trimmed), red bell pepper (cut into thin strips), rice vinegar, soy sauce, dark soy sauce, chinese rice wine, brown sugar, cornflour                                                                                                                                                                               ",non-veg ,iron          ,alkaline_diet low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet type_a_diet                                                                ,1,1,1
86,meal_id111 ,plum and cherry roasted chicken                                               ,chicken     ,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries                                                                                                                                                                                                                                                                           ",non-veg ,iron          ,alkaline_diet low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                                          ,0,0,1
87,meal_id118 ,grilled kasundi honey chicken with sweet potato mash                          ,chicken     ,"Chicken breast, kasundi (Bengali mustard sauce), sweet potato, red and yellow capsicum, broccoli, garlic cloves, refined oil, salt, butter, cream, green onion, honey, ginger and garlic paste.                                                                                                                                                                                                                                                                                                                                                                       ",non-veg ,iron          ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_carb_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet type_a_diet ,0,0,1
88,meal_id2   ,chicken minced salad                                                          ,salad       ,"Olive oil, chicken mince, garlic, onion, salt, pepper, carrot, cabbage, green onion, sweet chili sauce, peanut butter, ginger, soy sauce, fresh coriander, chili flakes, tart                                                                                                                                                                                                                                                                                                                                                                                         ",non-veg ,fiber         ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,0,0,1
89,meal_id136 ,malabari fish curry                                                           ,curry       ,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
90,meal_id137 ,portugese fish stew                                                           ,fish        ,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
91,meal_id138 ,malabar fish curry                                                            ,curry       ,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts                                                                                                                                                                                                                                                                                                                                                                                                               ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
92,meal_id139 ,surmai curry with lobster butter rice                                         ,rice        ,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai                                                                                                                                                                                                                                                                                             ",veg     ,chloride      ,low_sodium_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                     ,1,0,0
93,meal_id140 ,seared salmon in tabasco butter                                               ,butter      ,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",non-veg ,calcium       ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet                                                                                                                ,1,1,1
94,meal_id141 ,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille ",egg         ,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt                                                                                                                                                                                                                                                                 ",non-veg ,vitamin_c     ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                                 ,1,1,1
95,meal_id142 ,fish skewers with coriander and red wine vinegar dressing                     ,wine        ,"sea bass fillets, olive oil (for grilling), red wine vinegar, sugar, extra virgin olive oil, garlic clove, coriander, bamboo skewers                                                                                                                                                                                                                                                                                                                                                                                                                                  ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                          ,1,1,1
96,meal_id146 ,goan prawn curry &amp; baked rice canapes                                     ,rice        ,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite                                                                                                                                               ",veg     ,iron          ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet                                                                                                        ,1,0,0
97,meal_id147 ,bihari fish curry                                                             ,curry       ,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves                                                                                                                                                                                                                                                                                                                           ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
98,meal_id57  ,fish with jamun sauce                                                         ,sauce       ,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach                                                                                                                                                                                                                                                                                                                                                                                                                              ",non-veg ,vitamin_c     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
99,meal_id148 ,beer batter fish fingers                                                      ,fish        ,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard                                                                                                                                                                                                                                                                                                                                                                                                                                            ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                         ,1,1,1
100,meal_id149 ,prawn and litchi salad                                                        ,salad       ,"prawns (shelled and cleaned), spring onions, mango flesh, litchis (deseeded), chilli flakes, lemon (for lemon juice), olive oil, peanuts (to garnish), salt                                                                                                                                                                                                                                                                                                                                                                                                           ",veg     ,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,0,0,1
101,meal_id150 ,kerala fish curry                                                             ,curry       ,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water                                                                                                                                                                                                                                                                                                   ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
102,meal_id151 ,fish andlouse                                                                 ,fish        ,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc.                                                                                                                                                                                                                                                ",non-veg ,vitamin_c     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
103,meal_id57  ,fish with jamun sauce                                                         ,sauce       ,"Berries, sugar, chilli, garlic cloves, cumin powder, fish fillet, semolina, salt, spinach                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
104,meal_id59  ,pesto fish kebabs                                                             ,kebabs      ,"King fish cut into one inch pieces, red capsicum cut into one inch pieces, basil pesto, white wine vinegar, salt, cooking spray                                                                                                                                                                                                                                                                                                                                                                                                                                       ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
105,meal_id152 ,prawn fried rice                                                              ,rice        ,"Oil, Bacon, Prawns, Chicken, Carrots, Garlic Cloves, Ginger, Spring Onion, Sweet Chili Sauce, Soy Sauce, Salt, Black Pepper, Sweet Corn, Vinegar, Cooked Rice, Coriander                                                                                                                                                                                                                                                                                                                                                                                              ",veg     ,carbohydrates ,alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet                                                                                                        ,1,0,0
106,meal_id153 ,damdama fish curry                                                            ,curry       ,"Fish, Onion, Tomato, Degi Red Chilli Powder, Cumin Powder, Coriander Powder, Green Coriander, Cumin, Salt, Oil                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
107,meal_id136 ,malabari fish curry                                                           ,curry       ,"Fish, coconut, ginger, tamarind puree, salt, turmeric powder, small green chilli, red chilli powder, scallion                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
108,meal_id154 ,fish with white sauce                                                         ,sauce       ,"Fillet fish, oil, milk, flour, butter, salt, ground black pepper                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet omni_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet low_carb_diet                                                                   ,1,1,1
109,meal_id155 ,chilli fish                                                                   ,fish        ,"Fish pieces (boneless), flour, cornflour, baking powder, soy sauce, celery, black pepper, salt, oil, green onion, for sauce: ginger, garlic, green chilli, soy sauce, tomato sauce, chilli sauce, cornflour                                                                                                                                                                                                                                                                                                                                                           ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
110,meal_id156 ,fish ambultiyal                                                               ,fish        ,"Tuna, onion, fenugreek seeds, whole chilli, pandan leaf, salt, water, cardamom, cinnamon, coriander powder, black pepper, red chilli, curry powder, garlic (crushed), chilli flakes, gorka, salt                                                                                                                                                                                                                                                                                                                                                                      ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
111,meal_id157 ,chettinad fish fry                                                            ,fish        ,"Surmai fish, oil, garlic cloves, ginger (mash), cumin, fennel, coriander seeds, black pepper, mustard seeds, curry leaves, salt, oil, water, tomato, red chilli powder, turmeric powder, tamarind pulp, cornflour, lemon. pieces of                                                                                                                                                                                                                                                                                                                                   ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
112,meal_id158 ,fish moilee                                                                   ,fish        ,"?Baasa fish, onion, ginger, garlic cloves, green chilli, turmeric, red chilli powder, coriander powder, lemon juice, curry leaves, refined oil, mustard seeds, black pepper, fennel, green cardamom, coconut milk, Cherry tomatoes                                                                                                                                                                                                                                                                                                                                    ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
113,meal_id159 ,batter fish                                                                   ,fish        ,"Fresh fish pieces (river sole or sea bass), flour, parsley, oil, baking powder, flour, egg (optional), soda water, salt and pepper                                                                                                                                                                                                                                                                                                                                                                                                                                    ",non-veg ,vitamin_a     ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,1,1,1
